дн,время,Предмет,Недели
пн,10:45,Биология,"1,3,5,7,9,11,13,15"
,,Экология,"4,6,8,10"
,,Педагогика,2
,,Философия,"12,14,16,17"
вт,13:10,Психология,"1,3,5,7,9,11,13,15,17,18"
,,БХ,"2,4,6,8,10,12,14,16"
ср,9:00,ИЯ,"5,7,9,11,13,15"
,,УОКП,"1,3"
,,ЛЯ,2
,,БФ,"4,6,8,10"
,,МедКиб,"12,14,16,18"
чт,9:00,ИР,"2,4,6,8,10,12,14,16,17,18"
,,АЯ,"1,3,7,9,11,13"
пт,9:00,"Психология","1,3,5,7,9,11,13,15,17,19"
,,БХ,"2,4,6,8,10,12,16,18"
сб,13:10,"Биология","1,3,7,9,11,13,15,17"
,,Биология,"4,6,8,10"
,,Психология,2
,,Философия,"12,14,16,18"
