,,Предмет,Недели
пн,9:00,Биология,"1,3,5,7,9,11,13,15,4,6,8,10"
,,Психология,"2"
,,Философия,"12,14,16,17"
вт,13:10,Психология,"1,3,5,7,9,11,13,15,17,18"
,,БХ,"2,4,6,8,10,12,14,16"
ср,9:00,ИЯ,"5,7,9,11,13,15"
,,ЛЯ,"2"
,,УОКП,"1,3"
,,БФ,"4,6,8,10"
,,МедКиб,"12,14,16,18"
чт,,УОКП,"1-12,15-18"
,13:10,ЛЯ,"1,3,5,7,9,11,15,17"
,,Морфология,"2,4,6,8,10,12,16,18"
пт,9:00,Право,"1,3,5,7,9,11,13,15"
,,ОЗОЖ,"2,4,6,8"
,,АСОМД,"10,12,16,18"
сб,13:10,ИР,"2,4,6,8,10,12,14,16,17,18"
,,АЯ,"1,3,7,9,11,13"
