День недели,Время,Дисциплина,"Недели (Без ""н"")"
Вт,9:00,Право,"1,3, 5, 7, 9, 11, 12, 13"
,9:00,ОЗОЖ,"2, 4, 6, 8"
,10:55,Психология,10
,10:55,Философия,"12,13,14"
Ср,13:10,Морфология,"3, 5, 7, 9, 11, 13, 15, 17"
,13:10,Биология,"2, 4, 6, 8, 10, 12, 16, 18"
,15:00,ФП,2-13
,15:00,ФП,14-18
Пт,13:10,БХ,"1, 3, 5, 7, 9, 11, 13, 15"
,13:10,АСОМД,"2, 4, 6, 8"
,13:10,Биология,"10, 12, 16, 18"
,13:10,ФП,"17, 19"
Сб,9:00,ФП,"6,8,10,12-19"
,9:00,МедКиб,"1,2,3,4"
,10:55,ФП,"1,3,7,9"
,10:55,ИР,"2,4,6,8,10,12,14,16,18"
,10:55,БФ,"11,13,15,17"
