,,Предмет,Недели
пн,9:00,ИЯ,"1,3,5,7,9,11"
,,"БФ","2,4,6,8"
,,МедКиб,"10,12,14,16"
вт,13:10,УОКП,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
ср,9:00,ЛЯ,"1,3,5,7,9,11,13,15,17"
,,Морфология,"2,4,6,8,10,12,14,16"
чт,,Право,"1,3,5,7,9,11,15,17"
,,ОЗОЖ,"2,4,6,8"
,,АСОМД,"10,12,16,18"
,13:10,ИР,"1,3,5,7,9,11,15,16,17,18"
,,АЯ,"2,4,6,8,10,12"
пт,9:00,"Психология","1,3,5,7,9,11,13,15,17,19"
,,"БХ","2,4,6,8,10,12,16,18"
сб,13:10,"Биология","1,3,7,9,11,13,15,17"
,,Биология,"4,6,8,10"
,,"Психология",2
,,Философия,"12,14,16,18"
