День недели,Время,Дисциплина,"Недели (Без ""н"")"
Пн,13:10,Философия,"1, 3, 5, 7"
,,Биохимия,"2,4,6, 8,10,11,14,16,17,18"
,,ПатАнат,"12, 15"
,,ПатФиз ,"9, 13"
Вт,9:00,НормФиз,"1, 3, 5, 7, 9, 11"
,,БЖД,"2, 4, 6, 8, 10, 12, 14, 16, 17, 18"
,,МикроБио,"13,15"
Ср,13:10,Гигиена,"2, 4, 6, 8-17"
,,ОКМ,"3, 5, 7, 18"
Чт,9:00,МикроБио,"1-12, 15-17"
Пт,13:10,ТопАнат и ОпХир,"1,3,5,7,9,11,13,15,16,17"
,,НормФиз,"2, 4, 6, 8, 10, 12"
Сб,9:00,ПатАнат,"1,3,7,9,11,13,15,17"
,,ПатФиз ,"2, 4, 6, 8, 10, 12, 14, 16"
