,"Курс/
поток",Занятия в бассейне (№ недели),,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"Понедельник
",9,"371
331-334А","371
331-334А","371
331-334А","371
331-334А","371
331-334А","371
331-334А","331-
334А",334Б -337,"371
334Б -337","334Б -337
271","334Б -337
271","334Б -337
271","334Б -337
271","334Б -337
271","321-323
271","321-323
271",321-323,321-323
,10.55,,"281
132-135А","281
132-135А","281
132-135А",132-135А,"281
132-135А",132-135А,132-135А,132-135А,132-135А,132-135А,132-135А,135Б-137,135Б-137,135Б-137,135Б-137,135Б-137,135Б-137
,13.1,139-141А,139-141А,139-141А,139-141А,139-141А,139-141А,141Б-143,141Б-143,141Б-143,141Б-143,141Б-143,"141Б-143
371","144-145
371","144-145
371","144-145
371",144-145,144-145,144-145
,15,152-154А,152-154А,152-154А,152-154А,152-154А,152-154А,152-154А,,"301-303
381","301-303
381",,,301-303,,,,,
"             Вторник

",9,"338-340
375","338-340
375","338-340
375","338-340
375","338-340
375","338-340
375","340-343
181","340-343
181","340-343
375","340-343
181",340-343,340-343,340-343,,,,,
,10.55,152-154А,152-154А,152-154А,152-154А,152-154А,154Б-157,154Б-157,154Б-157,"154Б-157
131",154Б-157,154Б-157,154Б-157,154Б-157,154Б-157,154Б-157,154Б-157,154Б-157,
,13.1,,,,,,,,,,,,,,,135Б-137,135Б-137,135Б-137,135Б-137
,"15.00
",201-204А,201-204А,201-204А,201-204А,201-204А,201-204А,201-204А,201-204А,204Б-207,204Б-207,204Б-207,204Б-207,204Б-207,204Б-207,204Б-207,204Б-207,,
"                 Среда 

"," 9.00
","375
344-346","375
344-346","375
344-346
","375
344-346","375
344-346","375
344-346",344-346,344-346,"375
347-349",347-349,347-349,347-349,347-349,347-349,,,,
,"10.55
",146-147,146-147,146-147,146-147,146-147,146-147,148-149,148-149,148-149,148-149,148-149,148-149,150-151,150-151,150-151,150-151,150-151,150-151
,13.1,231-232,"231-232
","231-232
","231-232
","233-234
","233-234
","233-234
","233-234
","235-237
",235-237,235-237,235-237,301-303,"301-303
175","301-303
175","301-303
175","301-303
175",301-303
,15,"481
371
101-102","481
371
101-102","481
371
101-102","481
371
101-102","481
371
101-102","481
371
101-102","371
103-104","371
103-104","371
103-104","371
103-104","371
103-104","371
105-107",105-107,105-107,105-107,105-107,105-107,
"    Четверг
",9,"375
171
131
181","375
171
131
181","375
171
131
181","171
131
181
354
360","171
131
181
354
360","171
131
181
354
360","171
131
354
360","171
131
354
360","171
350-353","171
350-353","171
350-353","171
350-353",,,"304-306
131
171","304-306
131
171","304-306
131
171",304-306
,10.55,,,,,,,,,,,,,,,,,,
,13.1,331-334А,331-334А,,331-334А,331-334А,331-334А,331-334А,331-334А,334Б -337,334Б -337,334Б -337,121-125,,,121-125,121-125,121-125,121-125
,15,321-323,321-323,321-323,321-323,321-323,321-323,321-323,321-323,"271
321-323",321-323,321-323,321-323,,,,,,
"             Пятница
"," 9.00
","375
238-241А","375
238-241А","375
238-241А",238-241А,238-241А,238-241А,241Б-244,241Б-244,241Б-244,241Б-244,241Б-244,241Б-244,121-125,,121-125,121-125,121-125,
,10.55,"281
344-346
","281
245-247","281
344-346","281
245-247","281
245-247","281
245-247",245-247,245-247,248-250,248-250,248-250,248-250,248-250,,248-250,321-323,321-323,321-323
,13.1,338-340,338-340,338-340,338-340,,338-340,"338-340
",340-343,"340-343
",340-343,340-343,340-343,,,340-343,,105-107,
,15,"251-253
171","251-253
381","251-253
171","251-253
171","254-256
171","254-256
381","254-256
381","254-256
171","254-256
381","254-256
381","304-306
171","304-306
171","304-306
171",,"304-306
171",304-306,304-306,
"            Суббота
",9,"354
360
181
381","181
381
251-253","354
360
181
381","181
381
251-253",,,"350-353
381",,"350-353
381",,"350-353
",,,,,,,
,10.55,101-102,"354
360",101-102,"354
360",,354-360,103-104,350-353,103-104,350-353,221-223,350-353,221-223,350-353,221-223,,,
,"13.10
 ",,,,344-346,,344-346,,347-349,,347-349,,347-349,,"347-349
175","347-349
175","347-349
175","135Б-137
175",150-151
,"15.00
","275
146-147","275
321-323","275
148-149","275
321-324",,"275
321-323","275
148-149",275,"275
150-151","275
121-125","275
121-125",275,"275
121-125",121-125,121-125,121-125,121-125,121-125
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
